region,year,avg_region_price_per_sqm_by_year
Central,2017,5994.97904
Central,2018,6008.892984
Central,2019,5818.252724
Central,2020,5872.648071
Central,2021,6278.227623
East,2017,4433.345711
East,2018,4414.984528
East,2019,4433.248145
East,2020,4594.932519
East,2021,4883.278453
North,2017,3737.509673
North,2018,3627.45436
North,2019,3768.022205
North,2020,3909.595354
North,2021,4281.41283
North-East,2017,4510.156947
North-East,2018,4498.681734
North-East,2019,4561.177684
North-East,2020,4715.106345
North-East,2021,4947.307695
West,2017,4091.234506
West,2018,3993.434201
West,2019,3960.708361
West,2020,4256.923288
West,2021,4593.481741
